행정구역별,생활밀접업종,대분류,중분류,년,분기,,트렌드지수,반응도,매출,전체점포수,프랜차이즈점포수,일반점포수,개업수,폐업수,개업률,폐업률,최근10년평균영업기간,최근30년평균영업기간
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,1,망원1동스포츠클럽20171,,,40257041.67,8,0,8,1,0,12.5,0,2.1,5.5
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,1,망원2동스포츠클럽20171,,,171506864.7,4,0,4,0,1,0,25,2.9,7.4
망원1동,서비스업/두발미용업,서비스업,두발미용업,2017,1,망원1동두발미용업20171,,,142847007.3,51,0,51,1,0,2,0,4.1,5.9
망원2동,서비스업/두발미용업,서비스업,두발미용업,2017,1,망원2동두발미용업20171,,,88026716.67,62,1,61,1,0,1.6,0,3.9,6.3
망원1동,서비스업/네일숍,서비스업,네일숍,2017,1,망원1동네일숍20171,,,4395360,7,0,7,0,0,0,0,2.9,3.7
망원2동,서비스업/네일숍,서비스업,네일숍,2017,1,망원2동네일숍20171,,,4770944,5,0,5,0,0,0,0,2.6,3.5
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,2,망원1동스포츠클럽20172,,,52545923.33,7,0,7,0,1,0,14.3,2.2,5.5
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,2,망원2동스포츠클럽20172,,,168172906.3,4,0,4,0,0,0,0,1.7,7.5
망원1동,서비스업/두발미용업,서비스업,두발미용업,2017,2,망원1동두발미용업20172,0.8,0,163641080.3,51,0,51,0,0,0,0,4.1,6
망원2동,서비스업/두발미용업,서비스업,두발미용업,2017,2,망원2동두발미용업20172,0.8,0,51420822.33,63,1,62,2,1,3.2,1.6,3.6,6.3
망원1동,서비스업/네일숍,서비스업,네일숍,2017,2,망원1동네일숍20172,,,5054051.667,8,0,8,1,0,12.5,0,2.9,3.6
망원2동,서비스업/네일숍,서비스업,네일숍,2017,2,망원2동네일숍20172,,,36982568.67,6,0,6,1,0,16.7,0,2.4,3.3
망원1동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,3,망원1동스포츠클럽20173,,,45905347,6,0,6,0,1,0,16.7,2.3,5.6
망원2동,서비스업/스포츠클럽,서비스업,스포츠클럽,2017,3,망원2동스포츠클럽20173,,,215013809,4,0,4,0,0,0,0,1.9,7.7
망원1동,서비스업/두발미용업,서비스업,두발미용업,2017,3,망원1동두발미용업20173,1.63,0.03,153949784.7,50,0,50,0,1,0,2,4.2,6.1
망원2동,서비스업/두발미용업,서비스업,두발미용업,2017,3,망원2동두발미용업20173,1.63,0.03,96462947,63,1,62,2,2,3.2,3.2,3.7,6.3
망원1동,서비스업/네일숍,서비스업,네일숍,2017,3,망원1동네일숍20173,,,9270031.333,8,0,8,0,0,0,0,3,3.8
